import time: self [us] | cumulative | imported package
import time:       981 |        981 |                             pydantic_core._pydantic_core
import time:      1124 |       1124 |                                 _decimal
import time:       609 |       1732 |                               decimal
import time:      9233 |      10965 |                             pydantic_core.core_schema
import time:      1470 |      13416 |                           pydantic_core
import time:       411 |      13826 |                         pydantic.version
import time:       533 |      14358 |                       pydantic.warnings
import time:       711 |      15068 |                     pydantic._migration
import time:       890 |        890 |                         typing_inspection
import time:      1354 |       1354 |                         typing_inspection.typing_objects
import time:      1115 |       3359 |                       typing_inspection.introspection
import time:       523 |        523 |                       pydantic._internal
import time:       668 |        668 |                           pydantic._internal._namespace_utils
import time:      1038 |       1705 |                         pydantic._internal._typing_extra
import time:       699 |       2403 |                       pydantic._internal._repr
import time:       762 |       7046 |                     pydantic.errors
import time:      1090 |      23204 |                   pydantic
import time:       356 |        356 |                       pydantic._internal._internal_dataclass
import time:      1215 |       1570 |                     pydantic.aliases
import time:      1165 |       1165 |                     pydantic.config
import time:       619 |       3354 |                   pydantic._internal._config
import time:       613 |        613 |                     pydantic._internal._core_utils
import time:       394 |        394 |                       pydantic._internal._import_utils
import time:      1045 |       1438 |                     pydantic._internal._utils
import time:      3540 |       5591 |                   pydantic._internal._decorators
import time:      1017 |       1017 |                       pydantic._internal._forward_ref
import time:       700 |       1717 |                     pydantic._internal._generics
import time:       500 |        500 |                     pydantic._internal._docs_extraction
import time:       675 |       2892 |                   pydantic._internal._fields
import time:       806 |        806 |                       pydantic.plugin
import time:       705 |       1510 |                     pydantic.plugin._schema_validator
import time:       569 |       2079 |                   pydantic._internal._mock_val_ser
import time:      1709 |       1709 |                       fractions
import time:      1642 |       1642 |                       ipaddress
import time:        37 |         37 |                           _sysconfig
import time:      1468 |       1505 |                         zoneinfo._tzpath
import time:       443 |        443 |                         zoneinfo._common
import time:       867 |        867 |                         _zoneinfo
import time:       927 |       3741 |                       zoneinfo
import time:       569 |        569 |                       pydantic.annotated_handlers
import time:      2768 |       2768 |                       pydantic.functional_validators
import time:       533 |        533 |                         pydantic._internal._core_metadata
import time:       468 |        468 |                         pydantic._internal._schema_generation_shared
import time:      2161 |       3160 |                       pydantic.json_schema
import time:       662 |        662 |                       pydantic._internal._discriminated_union
import time:       655 |        655 |                       pydantic._internal._known_annotated_metadata
import time:       811 |        811 |                       pydantic._internal._schema_gather
import time:      1415 |      17129 |                     pydantic._internal._generate_schema
import time:       488 |        488 |                     pydantic._internal._signature
import time:       675 |      18291 |                   pydantic._internal._model_construction
import time:       651 |        651 |                       overrides.enforce
import time:       897 |        897 |                           overrides.typing_utils
import time:       675 |       1571 |                         overrides.signature
import time:       727 |       2298 |                       overrides.overrides
import time:       964 |       3913 |                     overrides
import time:     16018 |      19930 |                   chromadb.errors
import time:      1517 |       1517 |                   chromadb.base_types
import time:       171 |        171 |                   chromadb.is_thin_client
import time:       680 |        680 |                     concurrent
import time:      1348 |       1348 |                       concurrent.futures._base
import time:       761 |       2108 |                     concurrent.futures
import time:       696 |        696 |                     tenacity._utils
import time:       720 |        720 |                     tenacity.retry
import time:       471 |        471 |                     tenacity.nap
import time:       582 |        582 |                     tenacity.stop
import time:       733 |        733 |                     tenacity.wait
import time:       446 |        446 |                     tenacity.before
import time:       386 |        386 |                     tenacity.after
import time:       405 |        405 |                     tenacity.before_sleep
import time:       745 |        745 |                     tornado
import time:       945 |        945 |                       tenacity.asyncio.retry
import time:       729 |       1674 |                     tenacity.asyncio
import time:      2479 |      12121 |                   tenacity
import time:       717 |        717 |                     pybase64._license
import time:       409 |        409 |                     pybase64._version
import time:       720 |        720 |                     pybase64._pybase64
import time:      1217 |       3061 |                   pybase64
import time:      6123 |       6123 |                     annotated_types
import time:       699 |        699 |                     pydantic._internal._validators
import time:      5357 |       5357 |                     pydantic.types
import time:      2326 |      14504 |                   pydantic.fields
import time:        51 |         51 |                             _json
import time:       702 |        752 |                           json.scanner
import time:       825 |       1576 |                         json.decoder
import time:       587 |        587 |                         json.encoder
import time:       692 |       2855 |                       json
import time:       807 |        807 |                       email
import time:      2558 |       2558 |                       importlib.metadata._meta
import time:       569 |        569 |                       importlib.metadata._collections
import time:       387 |        387 |                       importlib.metadata._functools
import time:       387 |        387 |                       importlib.metadata._itertools
import time:       792 |        792 |                             importlib.resources.abc
import time:       870 |       1661 |                           importlib.resources._common
import time:       504 |        504 |                           importlib.resources._functional
import time:       513 |       2677 |                         importlib.resources
import time:       583 |       3260 |                       importlib.abc
import time:      1319 |      12138 |                     importlib.metadata
import time:       533 |      12670 |                   pydantic.plugin._loader
import time:     37329 |     245142 |                 chromadb.api.types
import time:       677 |        677 |                   chromadb.execution
import time:       756 |        756 |                               signal
import time:       727 |       1483 |                             multiprocessing.process
import time:       792 |        792 |                                   select
import time:       801 |       1593 |                                 selectors
import time:      1342 |       2934 |                               socket
import time:       581 |       3515 |                             multiprocessing.reduction
import time:      1012 |       6009 |                           multiprocessing.context
import time:       909 |       6918 |                         multiprocessing
import time:       609 |        609 |                         chromadb.serde
import time:      5042 |      12568 |                       chromadb.api.configuration
import time:       655 |        655 |                           chromadb.utils
import time:       758 |        758 |                                       pprint
import time:        48 |         48 |                                         _heapq
import time:       644 |        692 |                                       heapq
import time:       824 |        824 |                                             attr._compat
import time:       990 |        990 |                                               unicodedata
import time:       453 |        453 |                                               attr._config
import time:       462 |        462 |                                                 attr.exceptions
import time:       480 |        942 |                                               attr.setters
import time:      3221 |       5604 |                                             attr._make
import time:       649 |       7077 |                                           attr.converters
import time:       432 |        432 |                                           attr.filters
import time:      3875 |       3875 |                                           attr.validators
import time:       539 |        539 |                                           attr._cmp
import time:       456 |        456 |                                           attr._funcs
import time:       423 |        423 |                                           attr._next_gen
import time:       714 |        714 |                                           attr._version_info
import time:      1060 |      14574 |                                         attr
import time:       650 |        650 |                                         attrs.converters
import time:       372 |        372 |                                         attrs.exceptions
import time:       454 |        454 |                                         attrs.filters
import time:       453 |        453 |                                         attrs.setters
import time:       354 |        354 |                                         attrs.validators
import time:      1012 |      17867 |                                       attrs
import time:       800 |        800 |                                               urllib
import time:      1183 |       1983 |                                             urllib.parse
import time:       931 |        931 |                                               rpds.rpds
import time:       874 |       1804 |                                             rpds
import time:       526 |        526 |                                               referencing._attrs
import time:      3117 |       3643 |                                             referencing.exceptions
import time:       578 |        578 |                                             referencing.typing
import time:      3909 |      11915 |                                           referencing._core
import time:      1062 |      12976 |                                         referencing
import time:        14 |      12990 |                                       referencing.exceptions
import time:       603 |        603 |                                       jsonschema._utils
import time:      1168 |      34076 |                                     jsonschema.exceptions
import time:       781 |        781 |                                     fqdn
import time:       838 |        838 |                                         idna.idnadata
import time:       466 |        466 |                                         idna.intranges
import time:       947 |       2250 |                                       idna.core
import time:       416 |        416 |                                       idna.package_data
import time:       929 |       3595 |                                     idna
import time:       956 |        956 |                                     rfc3987
import time:       835 |        835 |                                     rfc3986_validator
import time:       673 |        673 |                                     rfc3987_syntax
import time:       740 |        740 |                                     rfc3339_validator
import time:       671 |        671 |                                     webcolors
import time:       740 |        740 |                                     jsonpointer
import time:       676 |        676 |                                     uri_template
import time:       694 |        694 |                                     isoduration
import time:       979 |      45411 |                                   jsonschema._format
import time:      1036 |       1036 |                                   jsonschema._types
import time:      1530 |       1530 |                                       referencing.jsonschema
import time:       657 |        657 |                                       jsonschema_specifications._core
import time:       550 |        550 |                                       importlib.resources._adapters
import time:       502 |        502 |                                           importlib.resources._itertools
import time:       613 |       1114 |                                         importlib.resources.readers
import time:       388 |       1502 |                                       importlib.readers
import time:      7619 |      11856 |                                     jsonschema_specifications
import time:       590 |        590 |                                     jsonschema._keywords
import time:       588 |        588 |                                     jsonschema._legacy_keywords
import time:       427 |        427 |                                       jsonschema.protocols
import time:       462 |        888 |                                     jsonschema._typing
import time:      4247 |      18167 |                                   jsonschema.validators
import time:       886 |      65498 |                                 jsonschema
import time:       709 |      66207 |                               chromadb.utils.embedding_functions.schemas.schema_utils
import time:       580 |        580 |                               chromadb.utils.embedding_functions.schemas.registry
