import time: self [us] | cumulative | imported package
import time:       589 |        589 |                                                   torch._higher_order_ops.partitioner
import time:       964 |       1553 |                                                 torch._higher_order_ops.scan
import time:       577 |        577 |                                                 torch._higher_order_ops.strict_mode
import time:       900 |        900 |                                                 torch._higher_order_ops.while_loop
import time:    584049 |     584049 |                                                   torch.utils._debug_mode
import time:       979 |     585028 |                                                 torch._higher_order_ops.wrap
import time:       800 |     624423 |                                               torch._higher_order_ops
import time:        24 |     624447 |                                             torch._higher_order_ops.flat_apply
import time:       948 |     630094 |                                           torch._export.wrappers
import time:       954 |        954 |                                           torch._export.config
import time:      1135 |     636358 |                                         torch._export
import time:        31 |     636388 |                                       torch._export.utils
import time:       949 |     637337 |                                     torch.export.decomp_utils
import time:       726 |        726 |                                         torch._export.verifier
import time:      1784 |       2509 |                                       torch.export.exported_program
import time:      2912 |       5421 |                                     torch.export.dynamic_shapes
import time:       497 |        497 |                                       torch.export._remove_effect_tokens_pass
import time:      1982 |       2478 |                                     torch.export.unflatten
import time:      1000 |     700673 |                                   torch.export
import time:      1172 |       1172 |                                   torch.fx.passes.utils.source_matcher_utils
import time:       619 |     702463 |                                 torch.ao.quantization.pt2e.graph_utils
import time:      3772 |     709631 |                               torch.ao.quantization.pt2e._numeric_debugger
import time:       566 |        566 |                               torch.ao.quantization.pt2e.export_utils
import time:      1030 |       1030 |                               torch.ao.quantization.qconfig
import time:       640 |        640 |                               torch.ao.quantization.qconfig_mapping
import time:       487 |        487 |                                       torch.ao.nn.quantized.reference.modules.utils
import time:       839 |       1325 |                                     torch.ao.nn.quantized.reference.modules.conv
import time:       496 |        496 |                                     torch.ao.nn.quantized.reference.modules.linear
import time:       637 |        637 |                                     torch.ao.nn.quantized.reference.modules.rnn
import time:       562 |        562 |                                     torch.ao.nn.quantized.reference.modules.sparse
import time:       805 |       3823 |                                   torch.ao.nn.quantized.reference.modules
import time:       551 |       4374 |                                 torch.ao.nn.quantized.reference
import time:       530 |        530 |                                         torch.ao.nn.sparse.quantized.linear
import time:       441 |        441 |                                         torch.ao.nn.sparse.quantized.utils
import time:       744 |       1715 |                                       torch.ao.nn.sparse.quantized.dynamic.linear
import time:       733 |       2448 |                                     torch.ao.nn.sparse.quantized.dynamic
import time:       735 |       3183 |                                   torch.ao.nn.sparse.quantized
import time:       708 |       3891 |                                 torch.ao.nn.sparse
import time:       506 |        506 |                                 torch.ao.quantization.stubs
import time:       887 |       9656 |                               torch.ao.quantization.quantization_mappings
import time:       606 |        606 |                               torch.ao.quantization.quantize
import time:       501 |        501 |                               torch.ao.quantization.quantize_jit
import time:       846 |     732621 |                             torch.ao.quantization
import time:        26 |     732647 |                           torch.ao.quantization.fake_quantize
import time:       616 |     733263 |                         torch.quantization.fake_quantize
import time:       425 |        425 |                         torch.quantization.fuse_modules
import time:       473 |        473 |                         torch.quantization.fuser_method_mappings
import time:       425 |        425 |                         torch.quantization.observer
import time:       427 |        427 |                         torch.quantization.qconfig
import time:       398 |        398 |                         torch.quantization.quant_type
import time:       390 |        390 |                         torch.quantization.quantization_mappings
import time:       391 |        391 |                         torch.quantization.quantize
import time:       532 |        532 |                         torch.quantization.quantize_jit
import time:       508 |        508 |                         torch.quantization.stubs
import time:       724 |     737950 |                       torch.quantization
import time:       559 |        559 |                       torch.quasirandom
import time:       424 |        424 |                       torch.multiprocessing._atfork
import time:       877 |        877 |                       torch._lobpcg
import time:       439 |        439 |                           torch.masked._docs
import time:       705 |        705 |                                 torch.masked.maskedtensor.core
import time:      3639 |       4344 |                               torch.masked.maskedtensor.binary
import time:      1011 |       1011 |                               torch.masked.maskedtensor.passthrough
import time:       489 |        489 |                                 torch.masked.maskedtensor.creation
import time:      1439 |       1927 |                               torch.masked.maskedtensor.reductions
import time:      3977 |       3977 |                               torch.masked.maskedtensor.unary
import time:       575 |      11832 |                             torch.masked.maskedtensor
import time:        25 |      11857 |                           torch.masked.maskedtensor.core
import time:      1104 |      13400 |                         torch.masked._ops
import time:       598 |      13997 |                       torch.masked
import time:       796 |        796 |                       torch.utils.dlpack
import time:       431 |        431 |                         torch._functorch.batch_norm_replacement
import time:       561 |        561 |                           torch.fx.experimental.const_fold
import time:       816 |       1377 |                         torch._functorch.eager_transforms
import time:       553 |        553 |                         torch._functorch.functional_call
import time:       575 |       2934 |                       torch.func
import time:       571 |        571 |                                 torch.utils._content_store
import time:       692 |       1263 |                               torch._prims.debug_prims
import time:       981 |        981 |                               torch._prims.rng_prims
import time:       913 |        913 |                               torch._prims_common.wrappers
import time:    155396 |     158552 |                             torch._prims
import time:     29426 |     187978 |                           torch._decomp.decompositions
import time:      1394 |       1394 |                             torch._refs._conversions
import time:      5059 |       5059 |                             torch._refs.fft
import time:      2321 |       2321 |                             torch._refs.linalg
import time:       622 |        622 |                               torch._refs.nn
import time:      5967 |       6588 |                             torch._refs.nn.functional
import time:      3984 |       3984 |                             torch._refs.special
import time:     39724 |      59068 |                           torch._refs
import time:      1050 |     248095 |                         torch._decomp
import time:     86324 |     334418 |                       torch._meta_registrations
import time:      1578 |       1578 |                         torch.compiler.config
import time:      1143 |       2721 |                       torch.compiler
import time:    249147 |    1811380 |                     torch
import time:      1161 |       1161 |                           safetensors._safetensors_rust
import time:       934 |       2095 |                         safetensors
import time:       832 |       2927 |                       safetensors.torch
import time:       445 |        445 |                                   torch.distributed._functional_collectives_impl
import time:       562 |        562 |                                   torch.utils._cxx_pytree
import time:      2924 |       3929 |                                 torch.distributed._functional_collectives
import time:       824 |        824 |                                   torch.distributed._local_tensor._c10d
import time:      1426 |       2250 |                                 torch.distributed._local_tensor
import time:     21903 |      21903 |                                 torch.distributed.tensor._collective_utils
import time:       833 |        833 |                                 torch.distributed.tensor._ops._mask_buffer
import time:      3279 |      32193 |                               torch.distributed.tensor.placement_types
import time:      1311 |      33504 |                             torch.distributed.tensor._dtensor_spec
import time:       676 |        676 |                               torch.utils._cxx_pytree
import time:      2484 |       3160 |                             torch.distributed.tensor._op_schema
import time:       633 |        633 |                                   torch.distributed.tensor._random
import time:       665 |        665 |                                     torch.distributed.tensor._utils
import time:       557 |       1221 |                                   torch.distributed.tensor._argmin_argmax
import time:       502 |        502 |                                     torch.distributed.tensor.device_mesh
import time:      1559 |       2060 |                                   torch.distributed.tensor._redistribute
import time:       677 |        677 |                                   torch.distributed.tensor._sharding_prop
import time:       514 |        514 |                                   torch.distributed.tensor._tp_conv
import time:     70895 |      70895 |                                   torch.utils._cxx_pytree
import time:      1093 |      77092 |                                 torch.distributed.tensor._dispatch
import time:       864 |      77956 |                               torch.distributed.tensor._api
import time:       576 |      78531 |                             torch.distributed.tensor._ops.registration
import time:       703 |     115896 |                           torch.distributed.tensor._ops._conv_ops
import time:       637 |        637 |                             torch.distributed.tensor._ops.utils
import time:       794 |       1431 |                           torch.distributed.tensor._ops._embedding_ops
import time:      1896 |       1896 |                           torch.distributed.tensor._ops._math_ops
import time:       841 |        841 |                             torch.distributed.tensor._ops._einsum_strategy
import time:       724 |       1564 |                           torch.distributed.tensor._ops._matrix_ops
import time:      5368 |       5368 |                           torch.distributed.tensor._ops._pointwise_ops
import time:       610 |        610 |                           torch.distributed.tensor._ops._random_ops
import time:       575 |        575 |                             torch.distributed.tensor._ops._common_rules
import time:       719 |        719 |                                   mpmath.usertools
import time:       839 |        839 |                                               gmpy2
import time:       793 |        793 |                                               gmpy
import time:       492 |       2123 |                                             mpmath.libmp.backend
import time:       637 |        637 |                                             mpmath.libmp.libintmath
import time:      1046 |       3806 |                                           mpmath.libmp.libmpf
import time:       664 |        664 |                                             mpmath.libmp.libelefun
import time:       684 |       1348 |                                           mpmath.libmp.libmpc
import time:      1254 |       1254 |                                             mpmath.libmp.gammazeta
import time:       704 |       1957 |                                           mpmath.libmp.libhyper
import time:       620 |        620 |                                           mpmath.libmp.libmpi
import time:       818 |       8547 |                                         mpmath.libmp
import time:        25 |       8571 |                                       mpmath.libmp.backend
import time:       844 |        844 |                                           mpmath.functions.functions
import time:       436 |        436 |                                           mpmath.functions.factorials
import time:       626 |        626 |                                           mpmath.functions.hypergeometric
import time:       493 |        493 |                                           mpmath.functions.expintegrals
import time:       580 |        580 |                                           mpmath.functions.bessel
import time:       489 |        489 |                                           mpmath.functions.orthogonal
import time:       669 |        669 |                                           mpmath.functions.theta
import time:       550 |        550 |                                           mpmath.functions.elliptic
import time:       697 |        697 |                                           mpmath.functions.signals
import time:       883 |        883 |                                           mpmath.functions.zeta
import time:       794 |        794 |                                           mpmath.functions.rszeta
import time:       595 |        595 |                                           mpmath.functions.zetazeros
import time:       426 |        426 |                                           mpmath.functions.qfunctions
import time:       918 |       8994 |                                         mpmath.functions
import time:        17 |       9011 |                                       mpmath.functions.functions
import time:       685 |        685 |                                           mpmath.calculus.calculus
import time:       572 |        572 |                                           mpmath.calculus.approximation
import time:       576 |        576 |                                           mpmath.calculus.differentiation
import time:       909 |        909 |                                           mpmath.calculus.extrapolation
import time:       441 |        441 |                                           mpmath.calculus.polynomials
import time:       754 |       3935 |                                         mpmath.calculus
import time:       544 |       4479 |                                       mpmath.calculus.quadrature
import time:       510 |        510 |                                       mpmath.calculus.inverselaplace
import time:       595 |        595 |                                       mpmath.calculus.optimization
import time:       479 |        479 |                                       mpmath.calculus.odes
import time:       828 |        828 |                                           mpmath.matrices.eigen
import time:       620 |        620 |                                           mpmath.matrices.eigen_symmetric
import time:       563 |       2010 |                                         mpmath.matrices
import time:       652 |       2662 |                                       mpmath.matrices.matrices
import time:       556 |        556 |                                       mpmath.matrices.calculus
import time:       530 |        530 |                                       mpmath.matrices.linalg
import time:       526 |        526 |                                       mpmath.identification
import time:       624 |        624 |                                       mpmath.visualization
import time:       724 |      29259 |                                     mpmath.ctx_base
import time:       794 |        794 |                                     mpmath.math2
import time:       863 |        863 |                                     mpmath.function_docs
import time:       677 |      31592 |                                   mpmath.ctx_fp
import time:       707 |        707 |                                     mpmath.rational
import time:      2609 |       2609 |                                     mpmath.ctx_mp_python
import time:      1041 |       4356 |                                   mpmath.ctx_mp
import time:       842 |        842 |                                   mpmath.ctx_iv
import time:      2377 |      39884 |                                 mpmath
import time:       766 |        766 |                                 sympy.release
import time:       552 |        552 |                                               sympy.utilities.enumerative
import time:       648 |        648 |                                               sympy.utilities.misc
import time:       503 |        503 |                                                 sympy.utilities.exceptions
import time:       515 |       1018 |                                               sympy.utilities.decorator
import time:       984 |       3201 |                                             sympy.utilities.iterables
import time:       824 |        824 |                                                 sympy.external.importtools
import time:       612 |       1435 |                                               sympy.external
import time:       822 |       2257 |                                             sympy.utilities.lambdify
import time:       489 |        489 |                                             sympy.utilities.timeutils
import time:       574 |       6520 |                                           sympy.utilities
import time:        31 |       6550 |                                         sympy.utilities.iterables
import time:       483 |       7033 |                                       sympy.core.random
import time:       491 |        491 |                                         sympy.core.cache
import time:       478 |        969 |                                       sympy.core.parameters
import time:       512 |        512 |                                             sympy.core.logic
import time:       572 |       1084 |                                           sympy.core.facts
import time:       591 |        591 |                                           sympy.core.assumptions_generated
import time:       665 |       2339 |                                         sympy.core.assumptions
import time:       500 |        500 |                                         sympy.core.sorting
import time:       431 |        431 |                                                     sympy.multipledispatch.utils
import time:       505 |        936 |                                                   sympy.multipledispatch.conflict
import time:       734 |       1670 |                                                 sympy.multipledispatch.dispatcher
import time:       646 |       2315 |                                               sympy.multipledispatch.core
import time:       542 |       2857 |                                             sympy.multipledispatch
import time:        26 |       2883 |                                           sympy.multipledispatch.dispatcher
import time:       661 |       3543 |                                         sympy.core.kind
import time:       429 |        429 |                                         sympy.core._print_helpers
import time:       432 |        432 |                                           sympy.core.core
import time:       510 |        942 |                                         sympy.core.singleton
import time:       527 |        527 |                                         sympy.core.traversal
import time:      1031 |       9308 |                                       sympy.core.basic
import time:       877 |      18185 |                                     sympy.core.sympify
import time:       511 |        511 |                                           sympy.external.pythonmpq
import time:       479 |        479 |                                           sympy.external.ntheory
import time:       886 |        886 |                                           flint
import time:       806 |        806 |                                           gmpy2
import time:       560 |       3239 |                                         sympy.external.gmpy
import time:       850 |       4088 |                                       sympy.core.evalf
import time:       493 |        493 |                                       sympy.core.decorators
import time:       499 |        499 |                                       sympy.core.intfunc
import time:       795 |        795 |                                         sympy.core.operations
import time:       898 |        898 |                                           sympy.core.containers
import time:       976 |        976 |                                               sympy.core.add
import time:       516 |        516 |                                               sympy.core.rules
import time:      2513 |       2513 |                                                     sympy.logic.boolalg
import time:       583 |        583 |                                                     sympy.logic.inference
import time:       636 |       3732 |                                                   sympy.logic
import time:        21 |       3752 |                                                 sympy.logic.boolalg
import time:      2649 |       6401 |                                               sympy.core.symbol
import time:      1672 |       9563 |                                             sympy.core.function
import time:       613 |        613 |                                               sympy.core.coreerrors
import time:      1817 |       2429 |                                             sympy.core.relational
import time:      1212 |      13203 |                                           sympy.core.power
import time:      3723 |      17823 |                                         sympy.core.numbers
import time:      1132 |      19748 |                                       sympy.core.mul
import time:       759 |        759 |                                         sympy.core.exprtools
import time:       766 |       1524 |                                       sympy.core.mod
import time:      1733 |      28084 |                                     sympy.core.expr
import time:       512 |        512 |                                     sympy.core.multidimensional
import time:       889 |      47668 |                                   sympy.core
import time:        39 |      47707 |                                 sympy.core.cache
import time:       468 |        468 |                                     sympy.utilities.source
import time:      1019 |       1486 |                                   sympy.assumptions.assume
import time:       631 |        631 |                                     sympy.assumptions.cnf
import time:       499 |        499 |                                     sympy.assumptions.ask_generated
import time:       895 |       2024 |                                   sympy.assumptions.ask
import time:       504 |        504 |                                   sympy.assumptions.refine
import time:       998 |        998 |                                     sympy.assumptions.relation.binrel
import time:       573 |       1570 |                                   sympy.assumptions.relation
import time:       623 |       6205 |                                 sympy.assumptions
import time:       703 |        703 |                                       sympy.polys.polyerrors
import time:      1512 |       2215 |                                     sympy.polys.polyoptions
import time:       541 |        541 |                                           sympy.polys.domains.domainelement
import time:       556 |        556 |                                           sympy.polys.orderings
import time:       618 |        618 |                                             sympy.polys.domains.modularinteger
import time:       656 |       1273 |                                           sympy.polys.polyutils
import time:      1038 |       3407 |                                         sympy.polys.domains.domain
import time:       441 |        441 |                                             sympy.polys.domains.ring
import time:       478 |        919 |                                           sympy.polys.domains.field
import time:       426 |        426 |                                           sympy.polys.domains.simpledomain
import time:       472 |        472 |                                             sympy.polys.polyconfig
import time:       640 |       1112 |                                           sympy.polys.galoistools
import time:       408 |        408 |                                             sympy.polys.domains.pythonrational
import time:       470 |        877 |                                           sympy.polys.domains.groundtypes
import time:       586 |       3918 |                                         sympy.polys.domains.finitefield
import time:       414 |        414 |                                           sympy.polys.domains.characteristiczero
import time:       491 |        904 |                                         sympy.polys.domains.integerring
import time:       525 |        525 |                                         sympy.polys.domains.rationalfield
import time:       666 |        666 |                                               sympy.polys.monomials
import time:       663 |       1329 |                                             sympy.polys.densebasic
import time:       593 |        593 |                                             sympy.polys.densearith
import time:       555 |        555 |                                             sympy.polys.densetools
import time:       610 |        610 |                                             sympy.polys.euclidtools
import time:       519 |        519 |                                             sympy.polys.sqfreetools
import time:       619 |        619 |                                             sympy.polys.factortools
import time:      1078 |       1078 |                                             sympy.polys.rootisolation
import time:      1934 |       7234 |                                           sympy.polys.polyclasses
import time:       656 |       7890 |                                         sympy.polys.domains.algebraicfield
import time:       823 |        823 |                                         sympy.polys.domains.gaussiandomains
import time:       929 |        929 |                                         sympy.polys.domains.realfield
import time:       985 |        985 |                                         sympy.polys.domains.complexfield
import time:       466 |        466 |                                           sympy.polys.domains.compositedomain
import time:       550 |       1015 |                                         sympy.polys.domains.polynomialring
import time:       473 |        473 |                                         sympy.polys.domains.fractionfield
import time:       598 |        598 |                                         sympy.polys.domains.expressiondomain
import time:       569 |        569 |                                         sympy.polys.domains.expressionrawdomain
import time:       471 |        471 |                                           sympy.polys.domains.pythonintegerring
import time:       473 |        944 |                                         sympy.polys.domains.pythonfinitefield
import time:       446 |        446 |                                           sympy.polys.domains.gmpyintegerring
import time:       428 |        874 |                                         sympy.polys.domains.gmpyfinitefield
import time:       464 |        464 |                                         sympy.polys.domains.pythonrationalfield
import time:       450 |        450 |                                         sympy.polys.domains.gmpyrationalfield
import time:       729 |      25491 |                                       sympy.polys.domains
import time:       560 |      26051 |                                     sympy.polys.constructor
import time:       468 |        468 |                                     sympy.polys.fglmtools
import time:       549 |        549 |                                     sympy.polys.groebnertools
import time:       415 |        415 |                                     sympy.polys.rationaltools
import time:      1930 |      31626 |                                   sympy.polys.polytools
import time:       471 |        471 |                                           sympy.ntheory.primetest
import time:       876 |       1347 |                                         sympy.ntheory.generate
import time:       456 |        456 |                                           sympy.ntheory.digits
import time:       598 |        598 |                                           sympy.ntheory.ecm
import time:       977 |       2030 |                                         sympy.ntheory.factor_
import time:       453 |        453 |                                             sympy.ntheory.modular
import time:       413 |        413 |                                             sympy.utilities.memoization
import time:       649 |       1514 |                                           sympy.ntheory.residue_ntheory
import time:       506 |       2020 |                                         sympy.ntheory.partitions_
import time:       458 |        458 |                                         sympy.ntheory.multinomial
import time:       499 |        499 |                                         sympy.ntheory.continued_fraction
import time:       452 |        452 |                                         sympy.ntheory.egyptian_fraction
import time:       500 |        500 |                                         sympy.ntheory.qs
import time:       797 |       8100 |                                       sympy.ntheory
import time:      1309 |       1309 |                                         sympy.polys.compatibility
import time:       445 |        445 |                                         sympy.polys.heuristicgcd
import time:       601 |        601 |                                                 sympy.printing.conventions
import time:       453 |        453 |                                                 sympy.printing.precedence
import time:       531 |        531 |                                                 sympy.printing.printer
import time:       837 |        837 |                                                 sympy.printing.str
import time:       404 |        404 |                                                     sympy.core.alphabets
import time:       889 |       1292 |                                                   sympy.printing.pretty.pretty_symbology
import time:       581 |       1873 |                                                 sympy.printing.pretty.stringpict
import time:      1648 |       5940 |                                               sympy.printing.pretty.pretty
import time:       768 |       6708 |                                             sympy.printing.pretty
import time:      1841 |       1841 |                                             sympy.printing.latex
import time:      1269 |       1269 |                                             sympy.printing.mathml
import time:       573 |        573 |                                               sympy.printing.repr
import time:       530 |       1102 |                                             sympy.printing.python
import time:       730 |        730 |                                                         sympy.functions.combinatorial
import time:      1828 |       2558 |                                                       sympy.functions.combinatorial.factorials
import time:       526 |        526 |                                                           sympy.functions.elementary
import time:      1080 |       1080 |                                                             sympy.functions.elementary.miscellaneous
import time:       927 |        927 |                                                             sympy.functions.elementary.piecewise
import time:      1612 |       3618 |                                                           sympy.functions.elementary.complexes
import time:      1725 |       5868 |                                                         sympy.functions.elementary.exponential
import time:       568 |        568 |                                                         sympy.polys.appellseqs
import time:      3969 |      10404 |                                                       sympy.functions.combinatorial.numbers
import time:      1359 |       1359 |                                                         sympy.functions.elementary.integers
import time:       560 |        560 |                                                         sympy.functions.elementary._trigonometric_special
import time:      2970 |       4888 |                                                       sympy.functions.elementary.trigonometric
import time:      2272 |       2272 |                                                       sympy.functions.elementary.hyperbolic
import time:       617 |        617 |                                                         sympy.functions.special
import time:      3445 |       3445 |                                                         sympy.functions.special.hyper
import time:      2880 |       6941 |                                                       sympy.functions.special.error_functions
import time:      1299 |       1299 |                                                         sympy.functions.special.zeta_functions
import time:      1516 |       2814 |                                                       sympy.functions.special.gamma_functions
import time:       808 |        808 |                                                       sympy.functions.special.tensor_functions
import time:      1063 |       1063 |                                                             sympy.polys.polyquinticconst
import time:       832 |       1895 |                                                           sympy.polys.polyroots
import time:       889 |       2783 |                                                         sympy.functions.special.delta_functions
import time:       581 |       3364 |                                                       sympy.functions.special.singularity_functions
import time:      2301 |       2301 |                                                             sympy.sets.sets
import time:      1488 |       1488 |                                                             sympy.sets.fancysets
import time:       598 |        598 |                                                             sympy.sets.contains
import time:       599 |        599 |                                                             sympy.sets.conditionset
import time:       704 |        704 |                                                             sympy.sets.ordinals
import time:       580 |        580 |                                                             sympy.sets.powerset
import time:       526 |        526 |                                                               sympy.sets.handlers
import time:      1860 |       2385 |                                                             sympy.sets.handlers.comparison
import time:       668 |       9319 |                                                           sympy.sets
import time:        22 |       9341 |                                                         sympy.sets.sets
import time:       572 |       9912 |                                                       sympy.functions.special.bsplines
import time:       569 |        569 |                                                         sympy.polys.orthopolys
import time:      2824 |       3392 |                                                       sympy.functions.special.bessel
import time:      1662 |       1662 |                                                       sympy.functions.special.polynomials
import time:       738 |        738 |                                                       sympy.functions.special.spherical_harmonics
import time:       972 |        972 |                                                       sympy.functions.special.elliptic_integrals
import time:       958 |        958 |                                                       sympy.functions.special.beta_functions
import time:       888 |        888 |                                                       sympy.functions.special.mathieu_functions
import time:       954 |      53520 |                                                     sympy.functions
import time:        23 |      53542 |                                                   sympy.functions.elementary
import time:        21 |      53563 |                                                 sympy.functions.elementary.complexes
import time:       718 |      54280 |                                               sympy.printing.codeprinter
import time:       878 |      55158 |                                             sympy.printing.pycode
import time:       791 |        791 |                                               sympy.assumptions.relation.equality
import time:       796 |       1587 |                                             sympy.printing.smtlib
import time:       605 |        605 |                                             sympy.printing.glsl
import time:       567 |        567 |                                             sympy.printing.rcode
import time:       510 |        510 |                                             sympy.printing.jscode
import time:       825 |        825 |                                             sympy.printing.julia
import time:       927 |        927 |                                             sympy.printing.mathematica
import time:       721 |        721 |                                             sympy.printing.octave
import time:       585 |        585 |                                               sympy.utilities.mathml
import time:       437 |       1022 |                                             sympy.printing.gtk
import time:       509 |        509 |                                             sympy.printing.preview
import time:       436 |        436 |                                             sympy.printing.tree
import time:       522 |        522 |                                             sympy.printing.tableform
import time:       495 |        495 |                                             sympy.printing.dot
import time:       568 |        568 |                                             sympy.printing.maple
import time:       782 |      76145 |                                           sympy.printing
import time:       458 |      76603 |                                         sympy.printing.defaults
import time:       487 |        487 |                                         sympy.utilities.magic
import time:      1244 |      80085 |                                       sympy.polys.rings
import time:       534 |      88718 |                                     sympy.polys.specialpolys
import time:       566 |      89283 |                                   sympy.polys.polyfuncs
import time:       630 |        630 |                                         sympy.polys.puiseux
import time:       715 |       1345 |                                       sympy.polys.ring_series
import time:      1691 |       1691 |                                       sympy.polys.rootoftools
import time:       884 |       3919 |                                     sympy.polys.numberfields.minpoly
import time:       552 |        552 |                                     sympy.polys.numberfields.subfield
import time:       503 |        503 |                                             sympy.polys.matrices.exceptions
import time:       466 |        466 |                                             sympy.polys.matrices.domainscalar
import time:       483 |        483 |                                                 sympy.polys.matrices._typing
import time:       548 |       1030 |                                               sympy.polys.matrices.dense
import time:       442 |        442 |                                               sympy.polys.matrices.lll
import time:       706 |        706 |                                               sympy.polys.matrices.sdm
import time:       427 |        427 |                                               sympy.polys.matrices.dfm
import time:       770 |       3374 |                                             sympy.polys.matrices.ddm
import time:       525 |        525 |                                             sympy.polys.matrices.rref
import time:      1147 |       6013 |                                           sympy.polys.matrices.domainmatrix
import time:       704 |       6716 |                                         sympy.polys.matrices
import time:        30 |       6746 |                                       sympy.polys.matrices.exceptions
import time:      1130 |       1130 |                                         sympy.printing.numpy
import time:       627 |       1756 |                                       sympy.printing.lambdarepr
import time:       516 |       9017 |                                     sympy.polys.numberfields.utilities
import time:       584 |        584 |                                         sympy.polys.matrices.normalforms
import time:       446 |        446 |                                         sympy.polys.numberfields.exceptions
import time:       847 |       1875 |                                       sympy.polys.numberfields.modules
import time:       547 |       2422 |                                     sympy.polys.numberfields.basis
import time:       574 |        574 |                                     sympy.polys.numberfields.primes
import time:       651 |        651 |                                       sympy.polys.numberfields.galois_resolvents
import time:       553 |       1204 |                                     sympy.polys.numberfields.galoisgroups
import time:       707 |      18391 |                                   sympy.polys.numberfields
import time:       782 |        782 |                                       sympy.matrices.exceptions
import time:       530 |        530 |                                       sympy.matrices.kind
import time:       494 |        494 |                                           sympy.matrices.utilities
import time:       583 |        583 |                                           sympy.matrices.determinant
import time:       606 |       1681 |                                         sympy.matrices.decompositions
